lga_code,lda_name,year,population
24900,Moira,2016,29797
24970,Monash,2016,200212
25060,Moonee Valley,2016,127906
25150,Moorabool,2016,34156
25250,Moreland,2016,181780
25340,Mornington Peninsula,2016,165823
25430,Mount Alexander,2016,19514
25490,Moyne,2016,16887
25620,Murrindindi,2016,14478
25710,Nillumbik,2016,64941
25810,Northern Grampians,2016,11430
25900,Port Phillip,2016,113265
25990,Pyrenees,2016,7353
26080,Queenscliffe,2016,2982
26170,South Gippsland,2016,29575
26260,Southern Grampians,2016,16134
26350,Stonnington,2016,116281
26430,Strathbogie,2016,10644
26490,Surf Coast,2016,32252
26610,Swan Hill,2016,20760
26670,Towong,2016,6054
26700,Wangaratta,2016,29086
26730,Warrnambool,2016,34863
26810,Wellington,2016,44017
26890,West Wimmera,2016,3862
26980,Whitehorse,2016,176273
27070,Whittlesea,2016,223347
27170,Wodonga,2016,41429
27260,Wyndham,2016,255367
27350,Yarra,2016,98567
27450,Yarra Ranges,2016,158171
27630,Yarriambiack,2016,6658
29399,Unincorporated Vic,2016,889
30250,Aurukun,2016,1381
30300,Balonne,2016,4333
30370,Banana,2016,14287
30410,Barcaldine,2016,2851
30450,Barcoo,2016,267
30760,Blackall-Tambo,2016,1863
30900,Boulia,2016,425
31000,Brisbane,2016,1230938
31750,Bulloo,2016,330
31820,Bundaberg,2016,95280
31900,Burdekin,2016,17073
31950,Burke,2016,352
32080,Cairns,2016,165462
32250,Carpentaria,2016,1974
32260,Cassowary Coast,2016,29679
32270,Central Highlands,2016,28636
32310,Charters Towers,2016,11849
32330,Cherbourg,2016,1315
32450,Cloncurry,2016,3090
32500,Cook,2016,4444
32600,Croydon,2016,288
32750,Diamantina,2016,292
32770,Doomadgee,2016,1506
32810,Douglas,2016,12252
33100,Etheridge,2016,804
33200,Flinders,2016,1498
33220,Fraser Coast,2016,105448
33360,Gladstone,2016,62961
33430,Gold Coast,2016,606528
33610,Goondiwindi,2016,10725
33620,Gympie,2016,51578
33800,Hinchinbrook,2016,10803
33830,Hope Vale,2016,1081
33960,Ipswich,2016,213568
33980,Isaac,2016,20930
34420,Kowanyama,2016,977
34530,Livingstone,2016,37629
34570,Lockhart River,2016,782
34580,Lockyer Valley,2016,40996
34590,Logan,2016,326494
34710,Longreach,2016,3529
34770,Mackay,2016,116514
34800,McKinlay,2016,814
34830,Mapoon,2016,325
34860,Maranoa,2016,12788
34880,Mareeba,2016,22511
35010,Moreton Bay,2016,459456
35250,Mornington,2016,1218
35300,Mount Isa,2016,18870
35600,Murweh,2016,4317
35670,Napranum,2016,1047
35740,Noosa,2016,55355
35760,North Burnett,2016,10624
35780,Northern Peninsula Area,2016,3068
35790,Palm Island,2016,2637
35800,Paroo,2016,1586
36070,Pormpuraaw,2016,833
